FRP No.,FRP,infection_cpcr-d0,maturity,CW,SC,CH,holdtank,TREATMENT,lowtag,hightag,treattank,where,tube_no,Avg_startq_day01,Avg_startq_day26,infection_status,temperature_treatment,RNAday9,RNAday12,RNAday26
2017-6103,6103,1,I,83.5,3,10.8,9A,A,3007,3119,1,drain end,46,150,200,1,cold,5.04,6.68,8.04
2017-6103,6103,1,I,83.5,3,10.8,1C,C,3007,3119,1,drain end,215,150,200,1,cold,5.04,6.68,8.04
2017-6103,6103,1,I,83.5,3,10.8,1C,C,3007,3119,1,drain end,409,150,200,1,cold,5.04,6.68,8.04
2017-6113,6113,0,I,126.5,3,19.1,7A,A,3062,3121,1,drain end,78,20,25,0,cold,2.19,3.55,5.64
2017-6113,6113,0,I,126.5,3,19.1,1C,C,3062,3121,1,drain end,214,20,25,0,cold,2.19,3.55,5.64
2017-6113,6113,0,I,126.5,3,19.1,1C,C,3062,3121,1,drain end,419,20,25,0,cold,2.19,3.55,5.64
2017-6117,6117,0,I,116.8,3,19.3,9A,A,3074,3282,2,drain end,42,2,95,NA,NA,NA,1.76,1.77
2017-6117,6117,0,I,116.8,3,19.3,2C,C,3074,3282,2,drain end,225,2,95,NA,NA,NA,1.76,1.77
2017-6117,6117,0,I,116.8,3,19.3,2C,C,3074,3282,2,drain end,440,2,95,NA,NA,NA,1.76,1.77
2017-6119,6119,0,I,97.7,3,13.4,1C,C,3081,3210,3,drain end,153,4.5,95,0,cold,2.02,3.86,NA
2017-6119,6119,0,I,97.7,3,13.4,3C,C,3081,3210,3,drain end,258,4.5,95,0,cold,2.02,3.86,NA
2017-6119,6119,0,I,97.7,3,13.4,3C,C,3081,3210,3,drain end,461,4.5,95,0,cold,2.02,3.86,NA
2017-6127,6127,0,I,108.4,3,19.3,9A,A,3110,3255,8,drain end,37,200,80,NA,NA,NA,3.46,4.36
2017-6127,6127,0,I,108.4,3,19.3,8A,A,3110,3255,8,drain end,335,200,80,NA,NA,NA,3.46,4.36
2017-6127,6127,0,I,108.4,3,19.3,8A,A,3110,3255,8,drain end,497,200,80,NA,NA,NA,3.46,4.36
2017-6129,6129,1,I,114.1,3,16.8,7A,A,3129,3137,5,drain end,86,3500,8e3,1,warm,3.09,NA,2.64
2017-6129,6129,1,I,114.1,3,16.8,5W,W,3129,3137,5,drain end,299,3500,8e3,1,warm,3.09,NA,2.64
2017-6129,6129,1,I,114.1,3,16.8,5W,W,3129,3137,5,drain end,403,3500,8e3,1,warm,3.09,NA,2.64
2017-6130,6130,0,I,111.4,3,11.8,9A,A,3134,3208,8,drain end,47,0.6666666666666666,138.33333333333334,0,ambient,7.32,0.88,1.8
2017-6130,6130,0,I,111.4,3,11.8,8A,A,3134,3208,8,drain end,339,0.6666666666666666,138.33333333333334,0,ambient,7.32,0.88,1.8
2017-6130,6130,0,I,111.4,3,11.8,8A,A,3134,3208,8,drain end,498,0.6666666666666666,138.33333333333334,0,ambient,7.32,0.88,1.8
2017-6131,6131,0,I,107.4,3,19.1,9A,A,3147,3563,9,drain end,38,3.48,1357.5,NA,NA,NA,1.42,0.88
2017-6131,6131,0,I,107.4,3,19.1,9A,A,3147,3563,9,drain end,314,3.48,1357.5,NA,NA,NA,1.42,0.88
2017-6131,6131,0,I,107.4,3,19.1,9A,A,3147,3563,9,drain end,507,3.48,1357.5,NA,NA,NA,1.42,0.88
2017-6132,6132,0,I,133.7,3,22.1,7A,A,3149,3436,1,drain end,88,1.35,82.5,0,cold,2.81,1.64,NA
2017-6132,6132,0,I,133.7,3,22.1,1C,C,3149,3436,1,drain end,205,1.35,82.5,0,cold,2.81,1.64,NA
2017-6132,6132,0,I,133.7,3,22.1,1C,C,3149,3436,1,drain end,406,1.35,82.5,0,cold,2.81,1.64,NA
2017-6133,6133,0,I,103.6,4,11.8,9A,A,3160,3273,2,drain end,36,0.8500000000000001,225,0,cold,4.16,8.24,3.9
2017-6133,6133,0,I,103.6,4,11.8,2C,C,3160,3273,2,drain end,223,0.8500000000000001,225,0,cold,4.16,8.24,3.9
2017-6133,6133,0,I,103.6,4,11.8,2C,C,3160,3273,2,drain end,434,0.8500000000000001,225,0,cold,4.16,8.24,3.9
2017-6134,6134,1,I,115.1,3,14.6,7A,A,3165,3254,7,drain end,77,200,100,1,ambient,1.71,2.68,NA
2017-6134,6134,1,I,115.1,3,14.6,7A,A,3165,3254,7,drain end,353,200,100,1,ambient,1.71,2.68,NA
2017-6134,6134,1,I,115.1,3,14.6,7A,A,3165,3254,7,drain end,465,200,100,1,ambient,1.71,2.68,NA
2017-6135,6135,1,I,130.8,4,30.1,8A,A,3166,3433,8,drain end,4,1,110,1,ambient,3.52,2.01,1.08
2017-6135,6135,1,I,130.8,4,30.1,8A,A,3166,3433,8,drain end,327,1,110,1,ambient,3.52,2.01,1.08
2017-6135,6135,1,I,130.8,4,30.1,8A,A,3166,3433,8,drain end,492,1,110,1,ambient,3.52,2.01,1.08
2017-6138,6138,0,I,118.8,3,18,7A,A,3173,3495,3,drain end,80,8.425,70,0,cold,2.66,6.44,6.16
2017-6138,6138,0,I,118.8,3,18,3C,C,3173,3495,3,drain end,247,8.425,70,0,cold,2.66,6.44,6.16
2017-6138,6138,0,I,118.8,3,18,3C,C,3173,3495,3,drain end,453,8.425,70,0,cold,2.66,6.44,6.16
2017-6142,6142,0,I,96.5,3,14.3,7A,A,3203,3230,7,drain end,65,3250,2e3,NA,NA,NA,1.8,NA
2017-6142,6142,0,I,96.5,3,14.3,7A,A,3203,3230,7,drain end,346,3250,2e3,NA,NA,NA,1.8,NA
2017-6142,6142,0,I,96.5,3,14.3,7A,A,3203,3230,7,drain end,474,3250,2e3,NA,NA,NA,1.8,NA
