"","Sample_pre","Sample","Cq","Cq_Mean","Cq_Std_Dev","Starting_Quantity","Log_Starting_Quantity","SQ_Mean","SQ_Std_Dev","year-FRP","FRP","run","Comments","sampleday"
"1",30,"30-A07","34.76",34.04,1.028,"4.65E+00","6.68E-01",8.98,6.12,"2017-6235",6235,"5/3/2018 first",NA,"day01"
"2",30,"30-A07","33.31",34.04,1.028,"1.33E+01","1.12E+00",8.98,6.12,"2017-6235",6235,"5/3/2018 first",NA,"day01"
"3",31,"31-G08","34.23",33.77,0.656,"6.82E+00","8.34E-01",10.1,4.61,"2017-6175",6175,"5/3/2018 first","maybe 0.5 ul DNA","day01"
"4",31,"31-G08","33.31",33.77,0.656,"1.33E+01","1.13E+00",10.1,4.61,"2017-6175",6175,"5/3/2018 first","2.0 ul DNA","day01"
"5",33,"33-G02","37.18",37.18,0,"8.09E-01","-9.20E-02",0.809,0,"2017-6200",6200,"5/3/2018 first",NA,"day01"
"6",33,"33-G02","N/A",0,0,"N/A","N/A",0,0,"2017-6200",6200,"5/3/2018 first",NA,"day01"
"7",37,"37-D02","30.15",30.39,0.335,"1.51E+02","2.18E+00",129,30.4,"2017-6207",6207,"4/27/18 2nd",NA,"day26"
"8",37,"37-D02","30.63",30.39,0.335,"1.08E+02","2.03E+00",129,30.4,"2017-6207",6207,"4/27/18 2nd",NA,"day26"
"9",34,"34-H02","N/A",0,0,"N/A","N/A",0,0,"2017-6246",6246,"4/27/18 2nd",NA,"day01"
"10",34,"34-H01","34.59",34.36,0.332,"6.47E+00","8.11E-01",7.74,1.81,"2017-6140",6140,"4/27/18 2nd",NA,"day01"
"11",34,"34-H01","34.12",34.36,0.332,"9.02E+00","9.55E-01",7.74,1.81,"2017-6140",6140,"4/27/18 2nd",NA,"day01"
"12",34,"34-F04","N/A",0,0,"N/A","N/A",0,0,"2017-6253",6253,"4/27/18 2nd",NA,"day01"
"13",34,"34-F04","N/A",0,0,"N/A","N/A",0,0,"2017-6253",6253,"4/27/18 2nd",NA,"day01"
"14",34,"34-F02","37.6",37.6,0,"7.64E-01","-1.17E-01",0.764,0,"2017-6143",6143,"4/27/18 2nd",NA,"day01"
"15",34,"34-F02","N/A",0,0,"N/A","N/A",0,0,"2017-6143",6143,"4/27/18 2nd",NA,"day01"
"16",34,"34-B04","39",37.92,1.52,"2.84E-01","-5.47E-01",0.794,0.721,"2017-6112",6112,"4/27/18 2nd",NA,"day01"
"17",34,"34-B04","36.85",37.92,1.52,"1.30E+00","1.15E-01",0.794,0.721,"2017-6112",6112,"4/27/18 2nd",NA,"day01"
"18",34,"34-B03","30.53",30.46,0.096,"1.15E+02","2.06E+00",121,8.25,"2017-6121",6121,"4/27/18 2nd",NA,"day01"
"19",34,"34-B03","30.39",30.46,0.096,"1.27E+02","2.10E+00",121,8.25,"2017-6121",6121,"4/27/18 2nd",NA,"day01"
