numblist,Starting_Quantity,FRP,sampleday
379,2.E-01,6247,day01
251,2.E-01,6260,day01
214,2.E-01,6104,day01
270,2.E-01,6166,day01
190,2.E-01,6179,day01
272,2.E-01,6156,day01
383,2.E-01,6110,day01
273,3.E-01,6259,day01
226,3.E-01,6152,day01
16,3.E-01,6112,day01
225,3.E-01,6230,day01
334,3.E-01,6186,day01
271,3.E-01,6156,day01
151,3.E-01,6121,day01
192,3.E-01,6161,day01
134,4.E-01,6191,day01
119,4.E-01,6231,day01
123,4.E-01,6280,day01
549,4.E-01,6171,day01
45,4.E-01,6247,day01
274,4.E-01,6102,day01
50,4.E-01,6231,day01
320,4.E-01,6268,day01
68,4.E-01,6232,day01
100,4.E-01,6248,day01
78,4.E-01,6130,day01
231,4.E-01,6232,day01
149,4.E-01,6109,day01
391,4.E-01,6275,day01
229,4.E-01,6131,day01
29,5.E-01,6200,day01
113,5.E-01,6282,day01
492,5.E-01,6136,day01
66,5.E-01,6248,day01
46,5.E-01,6258,day01
47,6.E-01,6258,day01
160,6.E-01,6246,day01
380,6.E-01,6280,day01
130,6.E-01,6110,day01
36,6.E-01,6180,day01
548,6.E-01,6171,day01
32,6.E-01,6191,day01
20,6.E-01,6109,day01
332,6.E-01,6181,day01
152,6.E-01,6112,day01
623,7.E-01,6229,day01
88,7.E-01,6130,day01
44,7.E-01,6247,day01
617,7.E-01,6138,day01
69,7.E-01,6232,day01
188,7.E-01,6276,day01
502,7.E-01,6132,day01
220,8.E-01,6133,day01
14,8.E-01,6143,day01
154,8.E-01,6143,day01
324,8.E-01,6107,day01
5,8.E-01,6200,day01
155,8.E-01,6143,day01
125,8.E-01,6275,day01
323,8.E-01,6218,day01
101,8.E-01,6248,day01
247,8.E-01,6157,day01
222,9.E-01,6223,day01
454,9.E-01,6197,day01
209,9.E-01,6254,day01
76,9.E-01,6152,day01
441,9.E-01,6252,day01
28,9.E-01,6200,day01
106,9.E-01,6227,day01
77,9.E-01,6152,day01
248,9.E-01,6143,day01
90,9.E-01,6152,day01
221,9.E-01,6133,day01
325,9.E-01,6107,day01
389,9.E-01,6238,day01
112,9.E-01,6282,day01
322,9.E-01,6218,day01
245,9.E-01,6253,day01
79,9.E-01,6130,day01
26,9.E-01,6157,day01
437,1.E+00,6150,day01
328,1.E+00,6135,day01
455,1.E+00,6197,day01
148,1.E+00,6109,day01
333,1.E+00,6181,day01
250,1.E+00,6260,day01
427,1.E+00,6213,day01
21,1.E+00,6109,day01
260,1.E+00,6258,day01
472,1.E+00,6282,day01
135,1.E+00,6191,day01
139,1.E+00,6200,day01
390,1.E+00,6275,day01
253,1.E+00,6180,day01
27,1.E+00,6157,day01
17,1.E+00,6112,day01
406,1.E+00,6236,day01
118,1.E+00,6231,day01
172,1.E+00,6176,day01
266,1.E+00,6112,day01
330,1.E+00,6267,day01
490,1.E+00,6236,day01
208,1.E+00,6254,day01
407,1.E+00,6236,day01
622,1.E+00,6229,day01
603,1.E+00,6154,day01
230,1.E+00,6232,day01
550,1.E+00,6226,day01
522,1.E+00,6252,day01
141,2.E+00,6157,day01
602,2.E+00,6154,day01
227,2.E+00,6152,day01
228,2.E+00,6131,day01
234,2.E+00,6216,day01
331,2.E+00,6267,day01
426,2.E+00,6213,day01
40,2.E+00,6110,day01
25,2.E+00,6189,day01
143,2.E+00,6260,day01
206,2.E+00,6117,day01
95,2.E+00,6131,day01
418,2.E+00,6132,day01
55,2.E+00,6282,day01
382,2.E+00,6110,day01
519,2.E+00,6150,day01
326,2.E+00,6264,day01
207,2.E+00,6117,day01
422,2.E+00,6272,day01
127,2.E+00,6247,day01
257,2.E+00,6189,day01
24,2.E+00,6189,day01
74,2.E+00,6216,day01
131,2.E+00,6110,day01
484,2.E+00,6271,day01
500,2.E+00,6271,day01
267,2.E+00,6112,day01
140,2.E+00,6157,day01
411,2.E+00,6136,day01
468,2.E+00,6245,day01
551,2.E+00,6226,day01
261,2.E+00,6258,day01
423,3.E+00,6272,day01
238,3.E+00,6235,day01
241,3.E+00,6191,day01
75,3.E+00,6216,day01
388,3.E+00,6238,day01
255,3.E+00,6246,day01
235,3.E+00,6216,day01
616,3.E+00,6138,day01
54,3.E+00,6282,day01
386,3.E+00,6277,day01
275,3.E+00,6109,day01
518,3.E+00,6150,day01
224,3.E+00,6230,day01
511,3.E+00,6123,day01
94,4.E+00,6131,day01
485,4.E+00,6271,day01
501,4.E+00,6271,day01
144,4.E+00,6189,day01
493,4.E+00,6136,day01
559,4.E+00,6165,day01
439,4.E+00,6123,day01
243,4.E+00,6200,day01
70,4.E+00,6230,day01
138,4.E+00,6200,day01
268,4.E+00,6140,day01
337,4.E+00,6119,day01
509,4.E+00,6213,day01
510,4.E+00,6123,day01
145,5.E+00,6189,day01
239,5.E+00,6235,day01
473,5.E+00,6282,day01
438,5.E+00,6123,day01
87,5.E+00,6235,day01
737,5.E+00,6139,day26
336,5.E+00,6119,day01
1,5.E+00,6235,day01
554,5.E+00,6171,day26
80,5.E+00,6235,day01
92,5.E+00,6216,day01
491,5.E+00,6236,day01
71,5.E+00,6230,day01
558,5.E+00,6165,day01
736,5.E+00,6139,day26
246,5.E+00,6157,day01
249,5.E+00,6143,day01
256,6.E+00,6189,day01
409,6.E+00,6222,day01
714,6.E+00,6150,day26
462,6.E+00,6147,day01
715,6.E+00,6150,day26
408,6.E+00,6222,day01
252,6.E+00,6180,day01
277,6.E+00,6185,day01
10,6.E+00,6140,day01
521,7.E+00,6175,day01
3,7.E+00,6175,day01
97,7.E+00,6230,day01
244,7.E+00,6253,day01
555,7.E+00,6171,day26
105,7.E+00,6175,day01
707,7.E+00,6176,day26
269,7.E+00,6140,day01
706,7.E+00,6176,day26
63,7.E+00,6175,day01
339,7.E+00,6108,day01
96,8.E+00,6230,day01
276,8.E+00,6185,day01
861,8.E+00,6171,day26
338,8.E+00,6108,day01
86,8.E+00,6235,day01
444,9.E+00,6168,day01
99,9.E+00,6232,day01
340,9.E+00,6190,day01
11,9.E+00,6140,day01
117,9.E+00,6281,day01
210,9.E+00,6106,day01
463,9.E+00,6147,day01
72,9.E+00,6131,day01
93,9.E+00,6216,day01
104,1.E+01,6175,day01
747,1.E+01,6195,day26
394,1.E+01,6281,day01
508,1.E+01,6213,day01
478,1.E+01,6175,day01
211,1.E+01,6106,day01
766,1.E+01,6110,day26
428,1.E+01,6123,day01
723,1.E+01,6136,day26
341,1.E+01,6190,day01
254,1.E+01,6246,day01
718,1.E+01,6202,day26
774,1.E+01,6114,day26
387,1.E+01,6277,day01
722,1.E+01,6136,day26
746,1.E+01,6195,day26
719,1.E+01,6202,day26
158,1.E+01,6140,day01
724,1.E+01,6185,day26
758,1.E+01,6143,day26
770,1.E+01,6130,day26
445,1.E+01,6168,day01
2,1.E+01,6235,day01
4,1.E+01,6175,day01
725,1.E+01,6185,day26
482,1.E+01,6178,day01
536,1.E+01,6178,day01
281,1.E+01,6265,day01
721,1.E+01,6127,day26
720,1.E+01,6127,day26
279,1.E+01,6138,day01
429,1.E+01,6123,day01
860,2.E+01,6171,day26
116,2.E+01,6281,day01
62,2.E+01,6175,day01
767,2.E+01,6110,day26
278,2.E+01,6138,day01
759,2.E+01,6143,day26
708,2.E+01,6186,day26
749,2.E+01,6213,day26
709,2.E+01,6186,day26
479,2.E+01,6175,day01
283,2.E+01,6101,day01
627,2.E+01,6203,day26
620,2.E+01,6111,day01
775,2.E+01,6114,day26
280,2.E+01,6265,day01
735,2.E+01,6166,day26
771,2.E+01,6130,day26
729,2.E+01,6135,day26
520,2.E+01,6175,day01
146,2.E+01,6257,day01
282,2.E+01,6101,day01
395,2.E+01,6281,day01
527,2.E+01,6168,day01
59,2.E+01,6139,day01
748,2.E+01,6213,day26
285,2.E+01,6151,day01
582,2.E+01,6169,day01
728,2.E+01,6135,day26
177,2.E+01,6113,day01
753,2.E+01,6145,day26
740,2.E+01,6183,day26
734,2.E+01,6166,day26
776,2.E+01,6211,day26
711,2.E+01,6125,day26
176,2.E+01,6113,day01
147,2.E+01,6257,day01
240,2.E+01,6191,day01
782,2.E+01,6113,day26
710,2.E+01,6125,day26
783,3.E+01,6113,day26
863,3.E+01,6203,day26
287,3.E+01,6111,day01
545,3.E+01,6227,day01
778,3.E+01,6131,day26
615,3.E+01,6101,day01
772,3.E+01,6193,day26
98,3.E+01,6232,day01
583,3.E+01,6169,day01
741,3.E+01,6183,day26
343,3.E+01,6263,day01
475,3.E+01,6139,day01
526,3.E+01,6168,day01
781,3.E+01,6161,day26
752,3.E+01,6145,day26
717,3.E+01,6205,day26
290,3.E+01,6249,day01
288,3.E+01,6203,day26
262,3.E+01,6257,day01
286,3.E+01,6111,day01
716,3.E+01,6205,day26
761,3.E+01,6109,day26
342,3.E+01,6263,day01
626,3.E+01,6203,day26
242,3.E+01,6200,day01
544,3.E+01,6227,day01
292,3.E+01,6194,day01
284,3.E+01,6151,day01
289,3.E+01,6203,day26
291,3.E+01,6249,day01
784,3.E+01,6104,day26
862,4.E+01,6203,day26
785,4.E+01,6104,day26
730,4.E+01,6159,day26
81,4.E+01,6235,day01
295,4.E+01,6125,day01
621,4.E+01,6111,day01
483,4.E+01,6178,day01
537,4.E+01,6178,day01
777,4.E+01,6211,day26
571,4.E+01,6145,day01
760,4.E+01,6109,day26
773,4.E+01,6193,day26
787,4.E+01,6179,day26
750,5.E+01,6201,day26
850,5.E+01,6165,day26
293,5.E+01,6194,day01
