FRP No.	FRP	infection_cpcr-d0	maturity	CW	SC	CH	holdtank	TREATMENT	lowtag	hightag	treattank	where	tube_no
2017-6101	6101	0	I	115.7	3	20.4	7A	A	3001	3035	1	drain end	84
2017-6101	6101	0	I	115.7	3	20.4	1C	C	3001	3035	1	drain end	206
2017-6101	6101	0	I	115.7	3	20.4	1C	C	3001	3035	1	drain end	415
2017-6102	6102	0	I	110.4	4	15.4	8A	A	3004	3219	2	drain end	18
2017-6102	6102	0	I	110.4	4	15.4	2C	C	3004	3219	2	drain end	236
2017-6102	6102	0	I	110.4	4	15.4	2C	C	3004	3219	2	drain end	439
2017-6103	6103	1	I	83.5	3	10.8	9A	A	3007	3119	1	drain end	46
2017-6103	6103	1	I	83.5	3	10.8	1C	C	3007	3119	1	drain end	215
2017-6103	6103	1	I	83.5	3	10.8	1C	C	3007	3119	1	drain end	409
2017-6104	6104	0	I	81.6	3	11	9A	A	3008	3472	3	drain end	41
2017-6104	6104	0	I	81.6	3	11	3C	C	3008	3472	3	drain end	259
2017-6104	6104	0	I	81.6	3	11	3C	C	3008	3472	3	drain end	458
2017-6105	6105	1	I	119.8	3	19.2	9A	A	3019	3504	2	drain end	43
2017-6105	6105	1	I	119.8	3	19.2	2C	C	3019	3504	2	drain end	234
2017-6105	6105	1	I	119.8	3	19.2	2C	C	3019	3504	2	drain end	438
2017-6106	6106	0	M	113.8	3	20.5	8A	A	3020	3509	3	drain end	5
2017-6106	6106	0	M	113.8	3	20.5	3C	C	3020	3509	3	drain end	241
2017-6106	6106	0	M	113.8	3	20.5	3C	C	3020	3509	3	drain end	450
2017-6107	6107	0	M	132.9	4	29.7	3C	C	3024	3597	7	drain end	115
2017-6107	6107	0	M	132.9	4	29.7	7A	A	3024	3597	7	drain end	350
2017-6107	6107	0	M	132.9	4	29.7	7A	A	3024	3597	7	drain end	471
2017-6108	6108	1	I	131.9	3	19.6	8A	A	3032	3442	3	drain end	6
2017-6108	6108	1	I	131.9	3	19.6	3C	C	3032	3442	3	drain end	255
